seed,culture,rep,cycle,tol_time
575,mono,0,0,5.5
575,mono,0,1,5.5
575,mono,0,2,5.5
575,mono,0,3,5.5
575,mono,0,4,5.5
575,mono,0,5,5.5
575,mono,0,6,5.5
575,mono,0,7,5.5
575,mono,0,8,5.75
575,mono,0,9,5.75
575,mono,1,0,5.5
575,mono,1,1,5.5
575,mono,1,2,5.5
575,mono,1,3,5.5
575,mono,1,4,5.75
575,mono,1,5,6.0
575,mono,1,6,6.5
575,mono,1,7,7.25
575,mono,1,8,8.0
575,mono,1,9,8.75
575,mono,2,0,5.5
575,mono,2,1,5.5
575,mono,2,2,5.5
575,mono,2,3,5.5
575,mono,2,4,5.5
575,mono,2,5,5.5
575,mono,2,6,5.5
575,mono,2,7,5.75
575,mono,2,8,5.75
575,mono,2,9,5.75
575,mono,3,0,5.5
575,mono,3,1,5.5
575,mono,3,2,5.5
575,mono,3,3,5.5
575,mono,3,4,5.5
575,mono,3,5,5.5
575,mono,3,6,5.5
575,mono,3,7,5.5
575,mono,3,8,5.5
575,mono,3,9,5.75
575,mono,4,0,5.5
575,mono,4,1,5.5
575,mono,4,2,5.75
575,mono,4,3,5.75
575,mono,4,4,6.0
575,mono,4,5,6.5
575,mono,4,6,6.75
575,mono,4,7,7.25
575,mono,4,8,7.75
575,mono,4,9,8.0
575,mono,5,0,5.5
575,mono,5,1,5.5
575,mono,5,2,5.5
575,mono,5,3,5.5
575,mono,5,4,5.5
575,mono,5,5,5.5
575,mono,5,6,5.75
575,mono,5,7,6.25
575,mono,5,8,6.75
575,mono,5,9,7.5
575,mono,6,0,5.5
575,mono,6,1,5.5
575,mono,6,2,5.5
575,mono,6,3,5.5
575,mono,6,4,5.5
575,mono,6,5,5.5
575,mono,6,6,5.5
575,mono,6,7,5.5
575,mono,6,8,5.5
575,mono,6,9,5.5
575,mono,7,0,5.5
575,mono,7,1,5.5
575,mono,7,2,5.5
575,mono,7,3,5.5
575,mono,7,4,5.75
575,mono,7,5,6.0
575,mono,7,6,6.75
575,mono,7,7,7.5
575,mono,7,8,8.25
575,mono,7,9,8.75
575,mono,8,0,5.5
575,mono,8,1,5.5
575,mono,8,2,5.5
575,mono,8,3,5.5
575,mono,8,4,5.75
575,mono,8,5,5.75
575,mono,8,6,6.0
575,mono,8,7,6.5
575,mono,8,8,7.0
575,mono,8,9,7.75
575,mono,9,0,5.5
575,mono,9,1,5.5
575,mono,9,2,5.5
575,mono,9,3,5.5
575,mono,9,4,5.5
575,mono,9,5,5.5
575,mono,9,6,5.75
575,mono,9,7,5.75
575,mono,9,8,5.75
575,mono,9,9,6.0
