seed,culture,rep,cycle,tol_time
993,co,0,0,6.0
993,co,0,1,6.0
993,co,0,2,6.0
993,co,0,3,6.0
993,co,0,4,6.25
993,co,0,5,6.75
993,co,0,6,7.5
993,co,0,7,8.25
993,co,0,8,8.75
993,co,0,9,8.75
993,co,1,0,6.0
993,co,1,1,7.75
993,co,1,2,8.0
993,co,1,3,9.0
993,co,1,4,9.0
993,co,1,5,9.25
993,co,1,6,9.25
993,co,1,7,9.5
993,co,1,8,9.5
993,co,1,9,10.75
993,co,2,0,6.0
993,co,2,1,6.0
993,co,2,2,6.0
993,co,2,3,6.25
993,co,2,4,6.25
993,co,2,5,6.5
993,co,2,6,7.0
993,co,2,7,7.5
993,co,2,8,7.75
993,co,2,9,7.75
993,co,3,0,6.0
993,co,3,1,6.0
993,co,3,2,6.0
993,co,3,3,6.0
993,co,3,4,6.0
993,co,3,5,6.0
993,co,3,6,6.0
993,co,3,7,6.0
993,co,3,8,6.25
993,co,3,9,6.75
993,co,4,0,6.0
993,co,4,1,6.0
993,co,4,2,6.0
993,co,4,3,6.25
993,co,4,4,6.25
993,co,4,5,6.25
993,co,4,6,6.25
993,co,4,7,6.25
993,co,4,8,6.25
993,co,4,9,6.25
993,co,5,0,6.0
993,co,5,1,6.0
993,co,5,2,6.25
993,co,5,3,6.5
993,co,5,4,6.75
993,co,5,5,7.0
993,co,5,6,7.25
993,co,5,7,7.0
993,co,5,8,7.25
993,co,5,9,7.25
993,co,6,0,6.0
993,co,6,1,6.0
993,co,6,2,6.0
993,co,6,3,6.0
993,co,6,4,6.0
993,co,6,5,6.0
993,co,6,6,6.0
993,co,6,7,6.0
993,co,6,8,8.0
993,co,6,9,8.75
993,co,7,0,6.0
993,co,7,1,6.0
993,co,7,2,6.0
993,co,7,3,6.0
993,co,7,4,6.5
993,co,7,5,6.75
993,co,7,6,6.75
993,co,7,7,7.0
993,co,7,8,7.25
993,co,7,9,7.5
993,co,8,0,6.0
993,co,8,1,8.25
993,co,8,2,8.75
993,co,8,3,10.5
993,co,8,4,11.0
993,co,8,5,11.25
993,co,8,6,12.0
993,co,8,7,12.25
993,co,8,8,12.25
993,co,8,9,12.25
993,co,9,0,6.0
993,co,9,1,6.0
993,co,9,2,6.0
993,co,9,3,6.0
993,co,9,4,6.0
993,co,9,5,7.5
993,co,9,6,7.75
993,co,9,7,8.0
993,co,9,8,8.25
993,co,9,9,8.5
993,co,10,0,6.0
993,co,10,1,8.75
993,co,10,2,9.25
993,co,10,3,9.5
993,co,10,4,9.5
993,co,10,5,9.5
993,co,10,6,10.0
993,co,10,7,10.25
993,co,10,8,10.75
993,co,10,9,11.25
993,co,11,0,6.0
993,co,11,1,6.0
993,co,11,2,6.0
993,co,11,3,6.0
993,co,11,4,6.25
993,co,11,5,6.5
993,co,11,6,6.75
993,co,11,7,7.25
993,co,11,8,7.75
993,co,11,9,8.0
993,co,12,0,6.0
993,co,12,1,6.0
993,co,12,2,6.0
993,co,12,3,6.0
993,co,12,4,6.0
993,co,12,5,6.25
993,co,12,6,6.25
993,co,12,7,6.75
993,co,12,8,7.0
993,co,12,9,7.25
993,co,13,0,6.0
993,co,13,1,6.0
993,co,13,2,6.0
993,co,13,3,6.25
993,co,13,4,6.25
993,co,13,5,6.75
993,co,13,6,7.25
993,co,13,7,7.75
993,co,13,8,8.0
993,co,13,9,8.0
993,co,14,0,6.0
993,co,14,1,6.0
993,co,14,2,6.0
993,co,14,3,6.0
993,co,14,4,6.0
993,co,14,5,6.0
993,co,14,6,6.0
993,co,14,7,6.0
993,co,14,8,6.0
993,co,14,9,6.0
993,co,15,0,6.0
993,co,15,1,6.0
993,co,15,2,6.0
993,co,15,3,6.25
993,co,15,4,6.25
993,co,15,5,6.5
993,co,15,6,8.75
993,co,15,7,9.5
993,co,15,8,9.75
993,co,15,9,10.0
993,co,16,0,6.0
993,co,16,1,6.0
993,co,16,2,6.0
993,co,16,3,6.0
993,co,16,4,6.0
993,co,16,5,6.0
993,co,16,6,6.0
993,co,16,7,6.0
993,co,16,8,6.0
993,co,16,9,6.0
993,co,17,0,6.0
993,co,17,1,6.0
993,co,17,2,6.0
993,co,17,3,6.0
993,co,17,4,6.0
993,co,17,5,6.0
993,co,17,6,6.0
993,co,17,7,6.0
993,co,17,8,6.25
993,co,17,9,6.75
993,co,18,0,6.0
993,co,18,1,6.0
993,co,18,2,6.0
993,co,18,3,6.25
993,co,18,4,6.25
993,co,18,5,6.5
993,co,18,6,6.75
993,co,18,7,7.0
993,co,18,8,7.0
993,co,18,9,7.0
993,co,19,0,6.0
993,co,19,1,6.0
993,co,19,2,6.0
993,co,19,3,6.25
993,co,19,4,6.25
993,co,19,5,6.5
993,co,19,6,7.5
993,co,19,7,8.0
993,co,19,8,8.0
993,co,19,9,8.25
